area_type,location,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,1st Block Jayanagar,2850.0,4.0,1.0,428.0,4,15017.543859649122
Super built-up  Area,1st Block Jayanagar,1630.0,3.0,2.0,194.0,3,11901.840490797545
Super built-up  Area,1st Block Jayanagar,1875.0,2.0,3.0,235.0,3,12533.333333333334
Built-up  Area,1st Block Jayanagar,1200.0,2.0,0.0,130.0,3,10833.333333333334
Super built-up  Area,1st Block Jayanagar,1235.0,2.0,2.0,148.0,2,11983.805668016194
Super built-up  Area,1st Block Jayanagar,2750.0,4.0,0.0,413.0,4,15018.181818181818
Super built-up  Area,1st Block Jayanagar,2450.0,4.0,2.0,368.0,4,15020.408163265307
Super built-up  Area,1st Phase JP Nagar,2825.0,4.0,3.0,250.0,4,8849.557522123894
Super built-up  Area,1st Phase JP Nagar,1875.0,3.0,1.0,167.0,3,8906.666666666666
Built-up  Area,1st Phase JP Nagar,1500.0,5.0,2.0,85.0,5,5666.666666666667
Super built-up  Area,1st Phase JP Nagar,2065.0,4.0,1.0,210.0,3,10169.49152542373
Super built-up  Area,1st Phase JP Nagar,2024.0,3.0,2.0,157.0,3,7756.916996047431
Super built-up  Area,1st Phase JP Nagar,2059.0,3.0,2.0,225.0,3,10927.634774162214
Super built-up  Area,1st Phase JP Nagar,1394.0,2.0,1.0,100.0,2,7173.601147776184
Super built-up  Area,1st Phase JP Nagar,1077.0,2.0,2.0,93.0,2,8635.097493036212
Plot  Area,1st Phase JP Nagar,1566.0,2.0,0.0,180.0,2,11494.252873563219
Built-up  Area,1st Phase JP Nagar,840.0,2.0,2.0,50.0,1,5952.380952380952
Super built-up  Area,1st Phase JP Nagar,1590.0,3.0,3.0,131.0,3,8238.993710691824
Super built-up  Area,1st Phase JP Nagar,2180.0,3.0,2.0,210.0,3,9633.02752293578
Super built-up  Area,1st Phase JP Nagar,1180.0,2.0,2.0,88.5,2,7500.0
Super built-up  Area,1st Phase JP Nagar,1200.0,2.0,2.0,86.0,2,7166.666666666667
Built-up  Area,1st Phase JP Nagar,1394.0,2.0,2.0,85.0,2,6097.5609756097565
Super built-up  Area,1st Phase JP Nagar,2077.0,3.0,3.0,175.0,3,8425.613866153106
Super built-up  Area,1st Phase JP Nagar,4550.0,2.0,1.0,240.0,4,5274.725274725275
Super built-up  Area,1st Phase JP Nagar,1205.0,2.0,1.0,85.0,2,7053.941908713693
Super built-up  Area,1st Phase JP Nagar,2615.0,5.0,3.0,222.0,4,8489.483747609942
Super built-up  Area,1st Phase JP Nagar,900.0,2.0,1.0,75.0,2,8333.333333333334
Plot  Area,2nd Stage Nagarbhavi,1500.0,4.0,2.0,220.0,4,14666.666666666666
Plot  Area,2nd Stage Nagarbhavi,3000.0,8.0,3.0,451.0,6,15033.333333333334
Plot  Area,2nd Stage Nagarbhavi,2400.0,8.0,3.0,450.0,6,18750.0
Plot  Area,2nd Stage Nagarbhavi,1350.0,4.0,1.0,200.0,4,14814.814814814816
Plot  Area,2nd Stage Nagarbhavi,1200.0,4.0,1.0,225.0,4,18750.0
Plot  Area,2nd Stage Nagarbhavi,1500.0,3.0,2.0,230.0,4,15333.333333333334
Super built-up  Area,5th Block Hbr Layout,1206.0,2.0,2.0,56.0,2,4643.449419568822
Super built-up  Area,5th Block Hbr Layout,1270.0,2.0,2.0,70.0,3,5511.811023622047
Super built-up  Area,5th Block Hbr Layout,1312.0,2.0,3.0,69.0,2,5259.1463414634145
Super built-up  Area,5th Block Hbr Layout,1100.0,2.0,2.0,48.0,2,4363.636363636364
Built-up  Area,5th Block Hbr Layout,3600.0,5.0,3.0,130.0,5,3611.1111111111113
Built-up  Area,5th Block Hbr Layout,5100.0,5.0,3.0,300.0,6,5882.35294117647
Super built-up  Area,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2,5581.395348837209
Built-up  Area,5th Phase JP Nagar,1150.0,3.0,3.0,52.5,2,4565.217391304348
Built-up  Area,5th Phase JP Nagar,1256.0,2.0,1.0,62.8,2,5000.0
Super built-up  Area,5th Phase JP Nagar,1207.0,2.0,2.0,63.0,2,5219.552609776305
Built-up  Area,5th Phase JP Nagar,1725.0,2.0,2.0,100.0,3,5797.101449275362
Super built-up  Area,5th Phase JP Nagar,1440.0,2.0,2.0,60.0,2,4166.666666666667
Built-up  Area,5th Phase JP Nagar,1700.0,2.0,3.0,100.0,3,5882.35294117647
Super built-up  Area,5th Phase JP Nagar,1485.0,2.0,2.0,67.0,3,4511.784511784512
Super built-up  Area,5th Phase JP Nagar,2500.0,5.0,2.0,110.0,5,4400.0
Built-up  Area,5th Phase JP Nagar,600.0,1.0,1.0,30.0,1,5000.0
Super built-up  Area,5th Phase JP Nagar,1390.0,2.0,2.0,65.0,2,4676.258992805755
Super built-up  Area,5th Phase JP Nagar,1000.0,2.0,0.0,48.0,2,4800.0
Super built-up  Area,5th Phase JP Nagar,1350.0,2.0,1.0,75.0,3,5555.555555555556
Super built-up  Area,5th Phase JP Nagar,552.0,1.0,1.0,23.5,1,4257.246376811594
Super built-up  Area,5th Phase JP Nagar,1200.0,2.0,2.0,51.0,2,4250.0
Super built-up  Area,5th Phase JP Nagar,1240.0,3.0,2.0,60.0,3,4838.709677419355
Built-up  Area,5th Phase JP Nagar,1550.0,3.0,3.0,75.0,3,4838.709677419355
Super built-up  Area,5th Phase JP Nagar,1485.0,2.0,1.0,66.0,3,4444.444444444444
Built-up  Area,5th Phase JP Nagar,1030.0,2.0,2.0,57.0,2,5533.980582524272
Super built-up  Area,5th Phase JP Nagar,1200.0,2.0,1.0,68.0,2,5666.666666666667
Built-up  Area,5th Phase JP Nagar,1190.0,2.0,2.0,61.8,2,5193.27731092437
Super built-up  Area,5th Phase JP Nagar,4000.0,5.0,2.0,170.0,5,4250.0
Super built-up  Area,5th Phase JP Nagar,1080.0,2.0,1.0,53.0,2,4907.407407407408
Super built-up  Area,5th Phase JP Nagar,1041.0,2.0,2.0,54.0,2,5187.319884726225
Super built-up  Area,5th Phase JP Nagar,812.0,2.0,1.0,42.0,2,5172.413793103448
Built-up  Area,5th Phase JP Nagar,1010.0,2.0,2.0,57.0,2,5643.564356435643
Super built-up  Area,5th Phase JP Nagar,1450.0,2.0,2.0,73.0,3,5034.482758620689
Super built-up  Area,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2,6208.053691275168
Super built-up  Area,6th Phase JP Nagar,1180.0,2.0,3.0,80.0,2,6779.661016949152
Super built-up  Area,6th Phase JP Nagar,3245.0,4.0,2.0,250.0,4,7704.160246533128
Built-up  Area,6th Phase JP Nagar,1645.0,3.0,3.0,100.0,3,6079.0273556231
